TC Catalogue Export
Generated: 2026-04-05
Project: ASTRA
Spacecraft: SAT-1
Format: TC_OUT_V2
Source: Catalogue DB
------------------------------------------------------------------------------------------------
PWR00001 PWR_ON_BATT     0x1001 Normal APP 0x01
PWR00002 PWR_OFF_BATT    0x1002 Normal APP 0x01
PWR00003 PWR_ON_SOL1     0x1003 Normal APP 0x01
PWR00004 PWR_OFF_SOL1    0x1004 Normal APP 0x01
PWR00005 PWR_ON_SOL2     0x1005 Normal APP 0x01
PWR00006 PWR_OFF_SOL2    0x1006 Normal APP 0x01
PWR00007 PWR_SET_VOLT    0x1007 Normal APP 0x01
PWR00008 PWR_RST         0x1008 Normal APP 0x01
ADC00001 ADC_RW_START    0x2001 Normal APP 0x02
ADC00002 ADC_RW_STOP     0x2002 Normal APP 0x02
ADC00003 ADC_RW_SPEED    0x2003 Normal APP 0x02
ADC00004 ADC_ATT_SET     0x2004 Normal APP 0x02
ADC00005 ADC_SAFE_MODE   0x2005 Normal APP 0x02
ADC00006 ADC_NOMINAL     0x2006 Normal APP 0x02
ADC00007 ADC_GYRO_CAL    0x2007 Normal APP 0x02
ADC00008 ADC_STR_ENABLE  0x2008 Normal APP 0x02
OBC00001 OBC_RESET       0x3001 Normal APP 0x03
OBC00002 OBC_SAFE        0x3002 Normal APP 0x03
OBC00003 OBC_NOMINAL     0x3003 Normal APP 0x03
OBC00004 OBC_SCIENCE     0x3004 Normal APP 0x03
OBC00005 OBC_CLR_ERR     0x3005 Normal APP 0x03
OBC00006 OBC_SYNC_TIME   0x3006 Normal APP 0x03
OBC00007 OBC_DUMP_LOG    0x3007 Normal APP 0x03
TRM00001 HTR_ON_1        0x4001 Normal APP 0x04
TRM00002 HTR_OFF_1       0x4002 Normal APP 0x04
TRM00003 HTR_ON_2        0x4003 Normal APP 0x04
TRM00004 HTR_OFF_2       0x4004 Normal APP 0x04
TRM00005 HTR_AUTO        0x4005 Normal APP 0x04
PLY00001 PLY_POWER_ON    0x5001 Normal APP 0x05
PLY00002 PLY_POWER_OFF   0x5002 Normal APP 0x05
PLY00003 PLY_STANDBY     0x5003 Normal APP 0x05
PLY00004 PLY_START_SCAN  0x5004 Normal APP 0x05
PLY00005 PLY_STOP_SCAN   0x5005 Normal APP 0x05
PLY00006 PLY_RESET       0x5006 Normal APP 0x05
COM00001 COM_ENABLE_TX   0x6001 Normal APP 0x06
COM00002 COM_DISABLE_TX  0x6002 Normal APP 0x06
COM00003 COM_ENABLE_RX   0x6003 Normal APP 0x06
COM00004 COM_DISABLE_RX  0x6004 Normal APP 0x06
COM00005 COM_SET_FREQ    0x6005 Normal APP 0x06
COM00006 COM_SET_POWER   0x6006 Normal APP 0x06
